Geschlecht;Gewicht
1;140
1;145
1;160
1;190
1;155
1;165
1;150
1;190
1;195
1;138
1;160
1;155
1;153
1;145
1;170
1;175
1;175
1;170
1;180
1;135
1;170
1;157
1;130
1;185
1;190
1;155
1;170
1;155
1;215
1;150
1;145
1;155
1;155
1;150
1;155
1;150
1;180
1;160
1;135
1;160
1;130
1;155
1;150
1;148
1;155
1;150
1;140
1;180
1;190
1;145
1;150
1;164
1;140
1;142
1;136
1;123
1;155
2;140
2;120
2;130
2;138
2;121
2;125
2;116
2;145
2;150
2;112
2;125
2;130
2;120
2;130
2;131
2;120
2;118
2;125
2;135
2;125
2;118
2;122
2;115
2;102
2;115
2;150
2;110
2;116
2;108
2;95
2;125
2;133
2;110
2;150
2;108
